,total_case_count,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Palghar, MH",192.0,,,,,,,,,,,,,,,,35.71,35.71,35.71,35.71,21.43,0.0,2.86,12.38,16.67,16.67,17.77,18.79,21.64,24.34,17.67,15.29,16.55,17.0,27.13,25.84,21.69,18.84,17.41,16.93,17.15,6.53,6.1,5.51,6.06,7.5,7.19,5.42,5.81,5.44,5.27,5.34
"Parbhani, MH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,21.43,21.43,21.43,21.43
"Pune, MH",2015.0,,41.47,20.93,14.04,12.26,12.17,13.53,8.87,8.45,9.09,7.41,7.41,6.37,5.01,4.75,6.54,6.67,7.27,10.41,12.06,14.5,15.41,18.95,18.3,21.3,19.44,20.32,18.38,15.58,12.16,13.09,11.77,12.8,10.76,12.68,13.63,11.77,11.13,10.6,9.67,9.39,7.99,7.28,7.35,7.02,5.5,4.78,4.9,4.12,4.15,9.89
"Raigarh (Chhattisgarh), MH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ratnagiri, MH",9.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,21.43,21.43,26.19,15.48,15.48,15.48,15.48,11.19,11.19,6.43,2.86,2.86,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,6.55,6.55
"Sangli, MH",33.0,,,,,,,,,,,,,,,,,42.26,24.4,24.4,0.6,0.6,0.0,0.0,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.61,2.1,2.1,3.53
"Satara, MH",63.0,,,,,,,,,,,,,,,,,0.0,0.0,7.14,7.14,7.14,7.14,16.67,19.52,19.52,14.76,14.76,14.76,14.76,5.24,2.38,2.38,0.0,0.0,8.16,8.16,8.16,8.16,12.06,12.06,12.06,3.9,3.9,3.9,6.96,3.06,3.06,3.06,5.58,6.3,34.87
"Sindhudurg, MH",2.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29
"Solapur, MH",101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.14,67.14,38.57,10.34,7.48,7.48,5.1,5.1,18.64,25.2,20.89,24.4,26.21,27.46,27.63,16.2
"Thane, MH",891.0,,,,,,,22.87,24.46,8.27,10.65,12.69,10.65,12.44,11.45,12.87,10.01,15.7,13.66,17.23,18.62,23.28,20.46,20.46,12.39,13.32,12.36,12.42,9.85,13.86,15.48,19.64,19.41,17.46,15.1,13.61,9.41,8.67,4.51,5.0,4.33,3.45,2.07,2.07,1.7,4.24,4.79,6.42,8.17,9.66,10.74,11.96
"Wardha, MH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washim, MH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yavatmal, MH",58.0,,,,,,,11.9,11.9,4.76,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.57,3.57,26.43,26.43,26.43,26.43,22.86,22.86,25.05,2.2,2.2,2.2,2.2,15.53,19.96,20.77,20.77,20.77,20.77,20.77,11.17
"Bishnupur, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chandel, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Churachandpur, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Imphal East, MN",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Imphal West, MN",1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jiribam, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kakching, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamjong, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kangpokpi, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"None, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pherjawl, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senapati, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamenglong, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tengnoupal, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thoubal, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ukhrul, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Jainta Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Khasi Hills, ML",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.97,94.27,8.55,4.47,4.47,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"North Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ribhoi, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South West Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South West Khasi Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Jaintia Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West khasi Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aizawl, MZ",1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Champhai, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolasib, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawngtlai, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lunglei, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mamit, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saiha, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serchhip, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dimapur, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kiphire, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kohima, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Longleng, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mokokchung, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mon, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peren, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phek, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuensang, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wokha, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zunheboto, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anugul, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balangir, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baleshwar, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bargarh, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baudh, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhadrak, OR",19.0,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,23.81,27.38,27.38,33.1,33.1,33.1,12.35,12.35,8.78,8.78,3.06,3.06,3.06,1.68
"Cuttack, OR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Debagarh, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhenkanal, OR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gajapati, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ganjam, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jagatsinghapur, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jajapur, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jharsuguda, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalahandi, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kandhamal, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kendrapara, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kendujhar, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khordha, OR",47.0,,,,,,,,,14.29,14.29,14.29,7.14,7.14,7.14,7.14,7.14,7.14,11.9,4.76,40.48,40.48,58.84,58.84,59.74,54.97,56.66,21.69,22.05,3.68,4.03,4.5,4.5,2.82,2.07,1.71,1.71,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.31,0.31,0.31
"Koraput, OR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Malkangiri, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mayurbhanj, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nabarangapur, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nayagarh, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nuapada, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Puri, OR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rayagada, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sambalpur, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subarnapur, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sundargarh, OR",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,21.43,23.81,23.81,23.81,23.81,23.81,23.81,9.52,1.43
"Karaikal, PY",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahe, PY",2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29
"Puducherry, PY",7.0,,,,,,,,,,,,,,,,,,,,,,,,,14.29,0.0,7.14,7.14,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,2.38,2.38,2.38,2.38,2.38,0.0,0.0,0.0
"Yanam, PY",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amritsar, PB",218.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,7.14,7.14,7.14,16.67,25.24,25.24,27.02,21.47,21.47,22.9,13.37,4.8,4.8,3.02,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,3.7,3.7,3.7,3.7,3.7,1.1,29.67,44.9,53.31,60.8,60.8
"Barnala, PB",19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,67.86
"Bathinda, PB",36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faridkot, PB",18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,21.43,21.43,21.43,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,4.76,11.9,11.9,11.9,11.9,7.14,35.71
"Fatehgarh Sahib, PB",16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,35.71,46.83,46.83
"Fazilka, PB",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Firozpur, PB",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Gurdaspur, PB",37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,21.43,21.43,24.29,83.81,86.57
"Hoshiarpur, PB",88.0,,,,,,,,,,,,,,33.33,33.33,40.48,11.9,7.14,9.52,9.52,9.52,9.52,2.38,2.38,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,7.4,7.4,7.4,47.66,63.3,63.3
"Jalandhar, PB",119.0,,,,,,,,,,,,,,,,,8.33,8.33,3.57,0.0,2.86,2.86,2.86,2.86,7.62,12.98,14.27,14.99,21.66,22.95,23.55,18.79,16.86,17.4,16.28,11.71,10.71,10.12,11.9,9.8,8.92,7.15,5.71,5.41,6.86,5.26,4.49,6.38,7.93,7.8,8.29
"Kapurthala, PB",13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,7.14,7.14,7.14,7.14,7.14,21.43,21.43,14.29,28.57,28.57,29.76,29.76,15.48
"Ludhiana, PB",109.0,,,,,,,,,,,,,,,,,,21.43,21.43,26.19,26.19,29.76,18.33,18.33,11.19,20.71,15.95,15.95,12.38,10.95,10.95,10.95,1.43,6.62,6.62,6.62,5.19,5.19,5.19,5.19,0.95,0.95,1.85,1.85,1.85,11.09,28.44,30.48,34.29,35.5,35.5
"Mansa, PB",17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.67,26.67,26.67,17.14,17.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.6,2.6,2.6,2.6,2.6,0.0,0.0,3.3,4.19
"Moga, PB",28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,6.43,58.81,58.81,58.81
"Pathankot, PB",27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.99,102.99,104.78,22.24,22.24,23.54,7.21,6.26,6.26,4.47,1.3,1.3,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.0,1.14
"Patiala, PB",82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.29,14.29,14.29,14.29,21.43,35.71,47.62,52.81,52.81,52.81,53.36,55.74,41.46,31.46,13.66,13.66,13.66,13.11,4.09,4.33,2.66,5.9,5.9,5.9
"Rupnagar, PB",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,9.52,12.38,31.43,31.43
"Mohali, PB",95.0,,,,,,,,,,,,,51.67,8.81,8.81,5.24,2.38,8.5,8.5,8.98,11.36,12.38,16.19,21.45,17.53,20.86,22.25,20.47,20.3,16.76,12.03,9.83,6.5,2.25,1.91,2.06,1.79,1.49,1.49,1.49,1.72,1.47,0.46,0.46,0.68,2.44,4.99,5.75,6.06,6.22,6.22
"Sangrur, PB",63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,11.9,11.9,14.29,22.45,89.98
"Shahid Bhagat Singh Nagar, PB",84.0,,,,,,,,,,,,101.97,104.65,18.94,4.65,3.63,3.63,3.63,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,1.47,2.15,2.15,2.15,41.65,41.65
"Muktsar, PB",49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,42.86,53.57,139.29,139.29
"Tarn Taran, PB",40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.53
"Ajmer, RJ",154.0,,,,,,,,,,,,,,,,,,,,,46.43,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,21.9,22.93,27.69,28.4,52.21,60.88,58.34,39.3,38.59,35.5,34.92,12.59,5.26,5.39,6.58,6.67,5.29,5.53
"Alwar, RJ",12.0,,,,,,,,,,,,,,,,,,,,,,,35.71,35.71,21.43,21.43,2.86,5.24,5.24,5.24,5.24,5.24,5.24,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,4.08,7.26,7.26,8.55
"Banswara, RJ",62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.79,80.91,82.91,32.91,31.33,28.47,16.56,8.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.74,1.22,1.22,1.22,0.96,0.96
"Baran, RJ",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barmer, RJ",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,7.14
"Bharatpur, RJ",101.0,,,,,,,,,,,,,,,,,,,,,,,,,,46.67,19.88,10.36,10.36,27.82,19.25,19.25,35.67,33.89,45.85,47.66,30.2,30.2,30.36,14.41,14.56,2.9,1.24,1.24,1.24,1.23,0.75,0.6,0.44,0.58,0.58
"Bhilwara, RJ",38.0,,,,,,,,,,,,,24.25,9.62,10.22,10.79,10.79,6.39,4.71,3.21,1.72,1.12,0.55,0.55,0.55,1.08,1.08,0.53,0.53,0.53,0.53,0.53,0.0,0.0,0.0,0.51,0.51,2.97,2.97,2.97,2.97,2.97,2.46,3.3,0.84,1.63,1.63,1.63,1.63,1.63,0.79
"Bikaner, RJ",35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.61,34.83,21.55,19.96,15.68,9.08,9.52,9.52,5.0,0.43,0.43,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
"Bundi, RJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chittaurgarh, RJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Churu, RJ",14.0,,,,,,,,,,,,,,,,,,,,100.0,103.57,103.57,103.57,105.0,5.0,5.0,5.0,1.43,5.32,5.32,3.9,3.9,3.9,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dausa, RJ",21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.24,47.28,18.71,9.78,9.78,11.08,11.08,9.89,7.85,7.85,2.49,10.18,9.6,9.6,8.41,8.41,8.41,8.41,0.71,0.0,0.0,0.0,0.0,0.0,0.0
"Dhaulpur, RJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dungarpur, RJ",6.0,,,,,,,,,,,,,,,,,,,,7.14,7.14,7.14,16.67,9.52,9.52,9.52,9.52,9.52,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86
"Ganganagar, RJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanumangarh, RJ",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,7.14,30.95,30.95,30.95,30.95,30.95,25.6,25.6,1.79,1.79,1.79,1.79,1.79,0.0,0.0
"Jaipur, RJ",995.0,11.9,11.9,4.76,4.76,11.9,16.67,11.9,11.9,11.9,11.9,11.9,6.55,3.37,3.37,3.37,17.66,18.37,27.22,28.37,31.66,31.66,41.79,28.72,28.85,23.05,24.36,23.94,29.06,20.82,20.81,23.16,21.05,16.89,12.58,8.18,6.74,6.76,5.22,5.78,5.85,6.24,5.8,5.68,4.89,3.7,2.57,2.85,2.66,2.89,3.07,3.06
